time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,comments
2021-09-24 15:12:32,19.25,,,,,,,,19.5,20.25,
2021-09-24 15:12:34,19.5,,,,,,,,19.25,20.25,0V drop
2021-09-24 15:12:44,19.25,,,,,,,,19.25,20.75,
2021-09-24 15:12:55,19.5,,,,,,,,19.25,22.5,
2021-09-24 15:13:05,19.25,,,,,,,,19.25,23.5,
2021-09-24 15:13:16,19.25,,,,,,,,19.25,23.75,
2021-09-24 15:13:26,19.25,,,,,,,,19.25,24.0,
2021-09-24 15:13:37,19.25,,,,,,,,19.25,24.25,
2021-09-24 15:13:47,19.25,,,,,,,,19.25,24.25,
2021-09-24 15:13:58,19.25,,,,,,,,19.25,24.5,
2021-09-24 15:14:09,19.25,,,,,,,,19.25,24.5,
2021-09-24 15:14:21,19.25,,,,,,,,19.25,24.75,
2021-09-24 15:14:32,19.25,,,,,,,,19.25,24.75,
2021-09-24 15:14:43,19.25,,,,,,,,19.25,24.75,
2021-09-24 15:14:54,19.25,,,,,,,,19.25,24.75,
2021-09-24 15:15:05,19.25,,,,,,,,19.25,24.75,
2021-09-24 15:15:16,19.25,,,,,,,,19.25,25.0,
2021-09-24 15:15:27,19.25,,,,,,,,19.25,25.0,
2021-09-24 15:15:38,19.25,,,,,,,,19.25,24.75,
2021-09-24 15:15:49,19.25,,,,,,,,19.0,25.0,
2021-09-24 15:16:00,19.25,,,,,,,,19.25,25.0,
2021-09-24 15:16:11,19.25,,,,,,,,19.25,25.0,
2021-09-24 15:16:21,19.25,,,,,,,,19.25,25.25,
2021-09-24 15:16:32,19.25,,,,,,,,19.0,25.0,
2021-09-24 15:16:43,19.25,,,,,,,,19.25,25.0,
2021-09-24 15:16:53,19.25,,,,,,,,19.0,25.0,
2021-09-24 15:17:04,19.25,,,,,,,,19.0,25.0,
2021-09-24 15:17:15,19.25,,,,,,,,19.25,25.0,
2021-09-24 15:17:26,19.25,,,,,,,,19.0,25.25,
2021-09-24 15:17:37,19.25,,,,,,,,19.25,25.25,
